id_colis,id_produit,id_commande,exemplaire,motif
100002,916,91804,5,Le produit n’est pas à la hauteur de mes attentes
100016,74,90063,3,la couleur du produit ne me plaît pas
100019,642,88144,1,Le produit n’est pas à la hauteur de mes attentes
100045,1525,43744,1,Le produit n’est pas à la hauteur de mes attentes
100062,435,40175,1,il y a un problème de taille
100062,928,40175,2,il y a un problème de taille
100070,401,86303,1,il existe une différence entre la fiche produit et l’article livré
100118,1887,84251,2,il y a un problème de taille
100124,294,96590,2,Le produit ne convient pas
100131,703,63155,1,Le produit n’est pas à la hauteur de mes attentes
100138,1201,49664,4,la couleur du produit ne me plaît pas
100167,941,55017,2,il existe une différence entre la fiche produit et l’article livré
100175,1028,98241,4,il existe une différence entre la fiche produit et l’article livré
100188,786,22913,2,il y a un problème de taille
100207,2083,37779,3,Le produit ne convient pas
100222,208,43405,3,il y a un problème de taille
100226,1657,476,1,il y a un problème de taille
100242,1382,8570,3,il existe une différence entre la fiche produit et l’article livré
100252,723,5195,2,il existe une différence entre la fiche produit et l’article livré
100278,1895,71183,1,Le produit n’est pas à la hauteur de mes attentes
100315,269,52991,1,il y a un problème de taille
100333,908,47322,3,produit abimé
100341,643,4091,5,il existe une différence entre la fiche produit et l’article livré
100343,456,88767,1,la couleur du produit ne me plaît pas
100349,1566,59554,2,il y a un problème de taille
100376,712,26221,2,il existe une différence entre la fiche produit et l’article livré
100378,1563,32257,2,produit abimé
100379,260,16065,1,produit abimé
100399,1466,74207,2,il existe une différence entre la fiche produit et l’article livré
100410,1628,51147,1,j ai finalement changé d’avis sur mes besoins
100489,1919,28712,1,la couleur du produit ne me plaît pas
100496,713,27765,3,Le produit n’est pas à la hauteur de mes attentes
100498,985,96082,3,il existe une différence entre la fiche produit et l’article livré
100505,762,40524,1,il existe une différence entre la fiche produit et l’article livré
100519,1596,42619,3,Le produit ne convient pas
100524,853,32426,1,j ai finalement changé d’avis sur mes besoins
100534,313,35159,1,produit abimé
100538,1527,75775,2,Le produit ne convient pas
100592,442,65822,4,il existe une différence entre la fiche produit et l’article livré
100608,138,28949,4,Le produit ne convient pas
100643,893,91209,2,produit abimé
100673,323,50862,2,produit abimé
100683,87,87303,1,il existe une différence entre la fiche produit et l’article livré
100693,825,35418,1,Le produit ne convient pas
100719,1932,17813,1,produit abimé
100724,1464,76866,3,il y a un problème de taille
100730,391,50236,2,j ai finalement changé d’avis sur mes besoins
100776,98,41425,2,il y a un problème de taille
100786,812,99041,1,Le produit n’est pas à la hauteur de mes attentes
100803,315,46307,2,il existe une différence entre la fiche produit et l’article livré
100819,341,45084,3,Le produit ne convient pas
100829,785,87122,2,Le produit ne convient pas
100833,791,48626,3,j ai finalement changé d’avis sur mes besoins
100833,1107,48626,4,produit abimé
100868,323,820,1,la couleur du produit ne me plaît pas
100874,920,44455,2,j ai finalement changé d’avis sur mes besoins
100884,1336,39611,2,Le produit ne convient pas
100897,1965,60040,4,la couleur du produit ne me plaît pas
100908,2081,54262,3,Le produit ne convient pas
100910,1876,4789,1,Le produit n’est pas à la hauteur de mes attentes
100914,998,37342,1,j ai finalement changé d’avis sur mes besoins
100919,131,31706,3,Le produit n’est pas à la hauteur de mes attentes
100930,1259,89858,1,la couleur du produit ne me plaît pas
100947,1340,1940,3,la couleur du produit ne me plaît pas
100952,151,27939,3,la couleur du produit ne me plaît pas
100959,1221,62414,2,j ai finalement changé d’avis sur mes besoins
100979,1973,60954,1,produit abimé
101025,2037,72449,2,Le produit n’est pas à la hauteur de mes attentes
101035,1027,8041,4,il existe une différence entre la fiche produit et l’article livré
101038,2160,70441,3,la couleur du produit ne me plaît pas
101054,604,45915,3,produit abimé
101065,571,95256,2,Le produit n’est pas à la hauteur de mes attentes
101075,24,55324,1,produit abimé
101079,102,37058,1,Le produit n’est pas à la hauteur de mes attentes
101082,491,59816,2,produit abimé
101097,434,55839,1,Le produit ne convient pas
101100,911,10715,1,Le produit n’est pas à la hauteur de mes attentes
101105,227,88616,1,produit abimé
101115,1674,94443,2,j ai finalement changé d’avis sur mes besoins
101124,1307,93121,2,j ai finalement changé d’avis sur mes besoins
101148,1974,82160,2,produit abimé
101154,1980,66484,3,j ai finalement changé d’avis sur mes besoins
101214,95,96055,1,Le produit n’est pas à la hauteur de mes attentes
101235,1560,1424,1,Le produit n’est pas à la hauteur de mes attentes
101267,1770,12325,2,produit abimé
101283,1188,21013,2,Le produit ne convient pas
101297,1414,98854,4,Le produit n’est pas à la hauteur de mes attentes
101301,131,28143,1,Le produit ne convient pas
101307,540,53046,4,produit abimé
101310,1464,64566,4,la couleur du produit ne me plaît pas
101315,333,23021,2,j ai finalement changé d’avis sur mes besoins
101317,106,92352,2,il existe une différence entre la fiche produit et l’article livré
101334,1388,88265,2,Le produit ne convient pas
101360,743,23118,4,j ai finalement changé d’avis sur mes besoins
101374,494,97469,3,produit abimé
101383,2051,77555,3,Le produit ne convient pas
101384,1886,25760,3,j ai finalement changé d’avis sur mes besoins
101385,1887,43510,1,Le produit ne convient pas
101389,1185,25462,3,Le produit ne convient pas
101411,400,49676,2,produit abimé
101414,1751,32337,3,Le produit ne convient pas
101419,980,60299,2,produit abimé
101435,1269,10615,2,Le produit ne convient pas
101446,439,79840,3,Le produit ne convient pas
101498,1541,50323,2,il existe une différence entre la fiche produit et l’article livré
101507,610,62085,1,il existe une différence entre la fiche produit et l’article livré
101514,963,78790,2,Le produit ne convient pas
101516,1450,75599,2,j ai finalement changé d’avis sur mes besoins
101529,829,89247,2,Le produit n’est pas à la hauteur de mes attentes
101566,727,22008,4,produit abimé
101586,980,4224,3,produit abimé
101622,231,98470,1,produit abimé
101622,577,98470,2,il y a un problème de taille
101647,2092,36588,4,j ai finalement changé d’avis sur mes besoins
101655,843,19962,3,il y a un problème de taille
101659,325,91054,5,la couleur du produit ne me plaît pas
101662,1065,35202,3,j ai finalement changé d’avis sur mes besoins
101670,1278,95183,5,produit abimé
101675,2031,49596,2,j ai finalement changé d’avis sur mes besoins
101678,708,13786,3,produit abimé
101688,2047,87671,2,Le produit ne convient pas
101690,481,60643,1,la couleur du produit ne me plaît pas
101701,1555,44520,1,j ai finalement changé d’avis sur mes besoins
101722,1417,18910,4,il y a un problème de taille
101724,958,45292,1,il y a un problème de taille
101737,774,23832,3,produit abimé
101745,1937,47971,1,la couleur du produit ne me plaît pas
101756,2071,73816,1,il y a un problème de taille
101770,787,36332,1,j ai finalement changé d’avis sur mes besoins
