id_client,id_commande,id_produit,id_colis,exemplaire,date_avis,avis,etoile
58233,43,1410,43,3,2021-9-1,j adoooore ce produt,5
87732,76,966,76,2,2020-11-5,je suis contente,1
8872,167,788,167,3,2020-6-8,je suis content,4
97096,195,1572,195,1,2021-1-25,j aime bien ,3
44824,206,677,206,4,2021-2-1,je suis deçu,4
64690,344,2024,344,1,2020-6-16,j aime pas trop,3
5054,373,1097,373,2,2021-5-16,j adoooore ce produt,5
6033,442,1489,442,1,2021-3-20,tres mauvaise qualité,4
25105,490,773,490,2,2020-6-14,je suis contente,4
3936,505,1496,505,3,2020-12-1,j adoooore ce produt,3
67349,509,2035,509,2,2021-5-4,je suis content,4
15423,552,1908,552,1,2020-11-11,tres mauvaise qualité,2
71755,596,730,596,1,2020-3-13,top,2
39675,646,847,646,3,2020-11-9,j aime bien ,3
69767,665,1962,665,1,2021-10-7,j aime pas trop,1
88304,671,215,671,1,2020-12-13,je suis deçu,3
1033,753,1784,753,3,2020-8-6,tres mauvaise qualité,1
95944,778,859,778,2,2020-2-19,tres mauvaise qualité,2
16320,817,1379,817,3,2021-12-5,je vous le conseille le produit est magnifique,3
16320,817,973,817,5,2021-12-5,tres mauvaise qualité,5
48260,818,1477,818,2,2021-10-4,tres bonne qualité,4
74677,820,935,820,1,2021-1-23,top,2
91398,852,126,852,1,2021-3-5,je suis contente,1
38745,886,868,886,2,2020-8-8,le produit n est pas original,4
35702,920,2104,920,4,2020-9-17,je vous le conseille le produit est magnifique,1
15016,937,113,937,5,2020-11-14,flop,5
49685,964,1902,964,1,2021-2-7,flop,5
46565,987,2091,987,1,2020-7-6,tres mauvaise qualité,3
53185,1011,975,1011,1,2020-10-11,je vous le conseille le produit est magnifique,4
49741,1070,1432,1070,1,2020-4-21,j adoooore ce produt,3
32489,1121,2001,1121,3,2021-8-8,j aime bien ,5
91232,1273,215,1273,2,2020-7-24,j aime pas trop,4
70204,1278,194,1278,1,2020-8-24,j aime pas trop,2
41631,1297,1705,1297,2,2021-2-19,j adoooore ce produt,4
53520,1346,1597,1346,1,2020-8-15,top,5
86844,1384,1870,1384,2,2021-2-15,j aime bien ,4
83623,1395,207,1395,3,2021-6-13,tres bonne qualité,3
94963,1457,980,1457,1,2021-1-17,je suis deçu,4
86790,1460,1653,1460,2,2020-1-13,je vous le conseille le produit est magnifique,3
43420,1693,1114,1693,2,2020-5-13,je suis deçu,5
73234,1715,1444,1715,2,2020-12-19,je suis contente,2
69604,1747,18,1747,5,2020-3-3,je suis contente,2
27804,1870,248,1870,1,2020-6-22,tres bonne qualité,1
54200,1910,7,1910,1,2020-12-26,tres bonne qualité,1
49324,1936,562,1936,3,2020-9-3,j aime bien ,2
26455,2024,1861,2024,1,2021-11-7,je suis content,5
77913,2036,83,2036,3,2020-12-23,j adoooore ce produt,5
39451,2143,972,2143,2,2020-11-2,je suis content,3
72037,2214,1229,2214,2,2021-4-25,je vous le conseille le produit est magnifique,4
72037,2214,1792,2214,4,2021-4-25,je vous le conseille le produit est magnifique,
84557,2285,972,2285,3,2021-7-3,je suis content,5
23774,2292,1652,2292,2,2021-12-11,tres mauvaise qualité,3
71304,2309,594,2309,2,2020-8-2,le produit n est pas original,1
76029,2336,1503,2336,2,2020-7-10,tres bonne qualité,5
56182,2384,139,2384,3,2020-5-23,j aime bien ,1
8439,2408,151,2408,3,2021-9-16,je suis content,2
44771,2428,1332,2428,3,2020-7-9,j aime pas trop,4
43912,2456,1059,2456,1,2021-10-9,tres bonne qualité,2
29329,2480,163,2480,2,2021-5-22,j aime bien ,2
37986,2482,1618,2482,3,2020-8-28,le produit n est pas original,1
47052,2495,1195,2495,1,2021-3-1,je suis contente,3
32432,2523,2186,2523,2,2020-7-20,flop,4
36200,2524,586,2524,1,2021-4-27,tres mauvaise qualité,2
42642,2531,2017,2531,5,2021-11-13,j adoooore ce produt,1
61115,2566,857,2566,2,2020-12-26,tres mauvaise qualité,4
59206,2580,1314,2580,1,2020-4-13,le produit n est pas original,5
56862,2678,1265,2678,2,2020-8-28,le produit n est pas original,5
21159,2764,829,2764,1,2021-6-17,je suis contente,4
76059,2897,1176,2897,5,2020-10-21,flop,1
65302,2898,642,2898,3,2021-6-21,je suis deçu,2
8494,2907,363,2907,2,2021-3-28,je vous le conseille le produit est magnifique,4
57502,3001,1006,3001,4,2020-5-9,je suis contente,1
70788,3015,1423,3015,3,2020-12-6,je suis deçu,4
84632,3022,313,3022,2,2021-5-5,tres mauvaise qualité,2
48581,3061,958,3061,1,2020-12-3,flop,2
94489,3076,1521,3076,3,2020-6-11,j aime pas trop,2
95475,3102,61,3102,3,2020-11-26,je suis content,3
8596,3120,1994,3120,4,2020-12-22,j aime pas trop,1
46516,3166,1640,3166,3,2021-9-25,j adoooore ce produt,1
42547,3173,1927,3173,1,2021-11-10,je suis contente,5
5318,3262,696,3262,3,2020-10-9,j aime pas trop,3
58049,3292,1848,3292,5,2020-1-19,le produit n est pas original,2
63296,3296,647,3296,2,2021-2-25,tres bonne qualité,3
90327,3318,874,3318,1,2020-10-15,je vous le conseille le produit est magnifique,5
49208,3392,1529,3392,2,2021-12-6,tres mauvaise qualité,3
63380,3423,2031,3423,2,2021-4-12,je vous le conseille le produit est magnifique,1
57594,3561,1214,3561,1,2021-12-19,je suis contente,3
39613,3584,1289,3584,1,2021-12-10,tres bonne qualité,4
90636,3615,1259,3615,2,2021-3-8,j adoooore ce produt,2
57132,3624,1651,3624,3,2021-10-5,je suis contente,3
48578,3640,1961,3640,4,2021-2-7,je suis deçu,2
65137,3641,1542,3641,1,2021-7-2,le produit n est pas original,3
69249,3651,1083,3651,4,2021-12-1,tres mauvaise qualité,3
58167,3690,804,3690,5,2020-2-13,j aime pas trop,1
5987,3712,2089,3712,2,2021-5-23,je suis content,1
55194,3726,1234,3726,2,2020-1-18,je suis deçu,1
65181,3737,2011,3737,1,2020-11-2,je suis contente,3
26546,3742,1582,3742,2,2021-10-1,j aime bien ,4
49253,3784,1212,3784,2,2020-5-6,je suis contente,2
3155,3830,914,3830,2,2020-12-26,j aime pas trop,4
