id_livraison,id_commande,date_exp
1,1,2021-2-1
2,2,2021-12-28
3,3,2020-1-17
4,4,2020-4-19
5,5,2021-11-7
6,6,2020-12-15
7,7,2020-5-17
8,8,2020-11-24
9,9,2020-12-17
10,10,2021-3-21
11,11,2020-7-14
12,12,2021-8-4
13,13,2020-8-19
14,14,2020-10-9
15,15,2020-6-28
16,16,2020-8-7
17,17,2020-9-9
18,18,2020-8-9
19,19,2021-2-1
20,20,2020-9-8
21,21,2020-4-25
22,22,2021-5-18
23,23,2020-8-12
24,24,2020-1-19
25,25,2021-8-3
26,26,2020-6-12
27,27,2021-10-15
28,28,2021-3-15
29,29,2020-4-26
30,30,2021-3-14
31,31,2021-4-11
32,32,2020-9-16
33,33,2020-11-27
34,34,2020-10-8
35,35,2021-7-11
36,36,2020-2-22
37,37,2021-10-15
38,38,2021-3-28
39,39,2021-5-14
40,40,2021-1-9
41,41,2021-12-1
42,42,2020-10-28
43,43,2021-2-27
44,44,2021-3-11
45,45,2021-5-22
46,46,2021-3-8
47,47,2021-8-23
48,48,2021-4-11
49,49,2020-12-21
50,50,2020-10-12
51,51,2020-2-6
52,52,2021-1-3
53,53,2021-1-16
54,54,2021-6-15
55,55,2020-10-10
56,56,2021-8-17
57,57,2020-3-25
58,58,2020-2-12
59,59,2021-11-22
60,60,2020-12-21
61,61,2020-3-16
62,62,2020-12-25
63,63,2020-12-24
64,64,2020-3-27
65,65,2020-1-16
66,66,2021-5-16
67,67,2020-10-13
68,68,2020-6-21
69,69,2020-3-7
70,70,2021-8-15
71,71,2021-3-17
72,72,2021-7-7
73,73,2021-11-1
74,74,2021-10-10
75,75,2021-12-13
76,76,2021-11-10
77,77,2021-12-28
78,78,2021-7-25
79,79,2021-1-23
80,80,2020-7-25
81,81,2020-12-15
82,82,2021-1-28
83,83,2020-12-3
84,84,2021-2-12
85,85,2021-4-2
86,86,2020-4-2
87,87,2020-11-1
88,88,2020-6-20
89,89,2020-4-10
90,90,2021-9-9
91,91,2021-9-6
92,92,2020-5-22
93,93,2021-2-4
94,94,2020-9-17
95,95,2020-5-7
96,96,2020-4-9
97,97,2020-8-24
98,98,2020-5-6
99,99,2021-5-4
100,100,2021-7-3
101,101,2021-7-21
102,102,2021-7-2
103,103,2020-11-9
104,104,2020-5-25
105,105,2020-11-18
106,106,2020-11-11
107,107,2020-7-7
108,108,2020-4-23
109,109,2020-7-11
110,110,2021-5-27
111,111,2021-9-8
112,112,2021-3-8
113,113,2020-10-11
114,114,2020-1-8
115,115,2021-8-23
116,116,2020-3-9
117,117,2020-10-2
118,118,2020-12-21
119,119,2021-9-24
120,120,2021-7-24
121,121,2021-8-21
122,122,2020-7-13
123,123,2020-12-2
124,124,2021-8-5
125,125,2021-3-15
126,126,2020-9-25
127,127,2020-12-27
128,128,2021-4-21
129,129,2020-3-13
130,130,2020-7-21
131,131,2020-7-21
132,132,2021-9-14
133,133,2020-11-15
134,134,2021-6-25
135,135,2021-10-20
136,136,2021-8-13
137,137,2020-6-8
138,138,2021-12-27
139,139,2021-11-14
140,140,2020-9-8
141,141,2021-8-6
142,142,2021-11-9
143,143,2021-8-24
144,144,2021-12-1
145,145,2021-2-27
146,146,2021-8-24
147,147,2020-10-26
148,148,2020-10-26
149,149,2020-4-28
150,150,2020-10-1
151,151,2021-7-17
152,152,2020-1-1
153,153,2020-1-23
154,154,2021-10-16
155,155,2020-3-2
156,156,2020-10-17
157,157,2021-5-19
158,158,2021-1-22
159,159,2020-3-10
160,160,2021-12-5
161,161,2020-3-15
162,162,2021-11-27
163,163,2020-7-25
164,164,2020-4-2
165,165,2021-11-12
166,166,2020-3-20
167,167,2021-8-11
168,168,2020-11-4
169,169,2021-11-22
170,170,2020-7-13
171,171,2021-9-27
172,172,2020-9-27
173,173,2020-7-26
174,174,2020-10-15
175,175,2020-12-2
176,176,2021-3-28
177,177,2021-12-11
178,178,2020-5-5
179,179,2020-10-26
180,180,2021-12-28
181,181,2021-9-4
182,182,2020-2-4
183,183,2020-8-18
184,184,2021-10-5
185,185,2020-8-22
186,186,2020-1-4
187,187,2020-4-26
188,188,2021-3-9
189,189,2021-6-23
190,190,2020-9-8
191,191,2021-11-18
192,192,2020-7-21
193,193,2020-7-23
194,194,2021-1-2
195,195,2021-7-18
196,196,2020-3-7
197,197,2021-8-25
198,198,2020-2-26
199,199,2020-4-12
200,200,2021-5-19
201,201,2020-1-15
202,202,2021-10-20
203,203,2020-7-22
204,204,2021-10-28
205,205,2020-6-4
206,206,2021-3-8
207,207,2021-11-15
208,208,2020-4-19
209,209,2021-8-14
210,210,2020-9-12
211,211,2021-2-16
212,212,2021-9-21
213,213,2020-4-2
214,214,2021-12-20
215,215,2020-3-19
216,216,2021-7-1
217,217,2020-4-5
218,218,2020-5-6
219,219,2020-11-17
220,220,2020-10-4
221,221,2020-3-21
222,222,2020-12-13
223,223,2020-11-28
224,224,2020-7-6
225,225,2021-3-3
226,226,2021-5-6
227,227,2021-6-28
228,228,2020-6-18
229,229,2020-9-4
230,230,2020-7-14
231,231,2020-9-1
232,232,2021-7-2
233,233,2021-1-22
234,234,2020-9-14
235,235,2020-3-13
236,236,2021-2-6
237,237,2020-3-5
238,238,2021-7-23
239,239,2020-4-2
240,240,2020-12-23
241,241,2021-1-7
242,242,2021-11-3
243,243,2021-3-5
244,244,2021-6-22
245,245,2020-4-7
246,246,2021-7-2
247,247,2020-6-4
248,248,2020-7-21
249,249,2021-2-1
250,250,2020-9-28
251,251,2020-2-11
252,252,2020-11-1
253,253,2021-3-7
254,254,2020-5-26
255,255,2021-9-17
256,256,2020-9-25
257,257,2020-2-22
258,258,2021-12-22
259,259,2020-3-26
260,260,2020-2-6
261,261,2021-5-2
262,262,2021-4-3
263,263,2021-6-9
264,264,2021-2-22
265,265,2021-6-28
266,266,2021-3-25
267,267,2021-11-11
268,268,2020-11-3
269,269,2020-12-15
270,270,2021-12-16
271,271,2021-5-8
272,272,2021-8-25
273,273,2020-6-9
274,274,2021-11-28
275,275,2020-6-5
276,276,2020-11-15
277,277,2021-10-23
278,278,2020-3-5
279,279,2020-9-21
280,280,2020-5-18
281,281,2020-12-1
282,282,2020-2-1
283,283,2020-6-3
284,284,2021-1-2
285,285,2021-9-7
