id_panier,id_produit,quantité
12,85,2
25,1002,3
36,1150,3
38,251,3
56,922,2
58,1502,1
67,1976,3
69,1327,2
71,1689,2
107,2111,1
117,1869,2
125,1824,1
136,1751,1
152,2089,3
189,217,1
195,48,3
196,637,2
219,1711,3
226,1915,2
238,1067,1
302,330,3
305,357,2
306,1026,1
308,1258,3
315,1793,3
318,1362,3
339,1893,2
348,668,3
349,1279,1
359,1764,2
360,1054,1
379,2103,2
397,202,1
399,159,2
400,30,3
412,1168,3
417,577,2
421,2102,1
448,1827,1
457,1178,3
477,1476,2
500,1904,2
504,1356,3
531,292,1
534,1185,2
550,1123,1
552,507,1
555,180,2
561,916,1
567,666,2
572,1246,1
582,1113,2
598,851,1
623,1354,1
627,541,3
648,156,2
674,2034,3
692,421,1
698,1009,3
701,501,1
720,408,2
722,2120,3
733,690,3
746,1318,2
749,435,2
750,1002,3
770,143,1
814,194,2
815,1426,2
816,1022,1
821,2171,3
869,1843,2
870,1950,2
881,309,3
883,214,3
884,1204,3
886,968,2
904,612,2
920,77,3
927,9,2
929,623,1
932,260,2
944,1572,1
951,572,3
954,1173,1
959,508,2
982,703,2
1007,1565,2
1032,658,1
1042,1565,2
1052,456,2
1075,719,3
1085,1619,2
1090,1734,2
1095,1055,1
1108,1542,3
1110,1543,1
1120,1699,1
1133,1287,3
1143,1377,2
1149,581,1
1165,2121,1
1167,1845,2
1176,643,1
1197,1307,2
1203,809,1
1204,1913,1
1208,319,3
1212,2,2
1224,322,1
1226,1830,3
1227,940,1
1230,1446,3
1235,581,3
1253,1779,1
1255,1354,3
1259,434,2
1264,822,1
1266,270,2
1288,1061,2
1292,239,2
1297,147,2
1316,2134,2
1328,442,1
1335,1107,3
1341,2040,3
1351,1534,2
1383,562,1
1390,1320,3
1412,1583,2
1431,1411,3
1438,1214,2
1442,1730,2
1451,1577,2
1486,433,1
1491,717,1
1506,1029,3
1514,2000,3
1519,1134,2
1527,2161,1
1534,354,2
1548,1352,2
1556,2188,3
1561,1835,3
1564,861,3
1585,1404,3
1611,389,3
1615,1706,3
1619,877,1
1620,1660,3
1629,149,1
1647,357,2
1704,1160,1
1724,474,2
1760,1519,1
1761,647,2
1784,533,2
1805,404,2
1808,38,2
1820,1568,2
1834,996,1
1871,933,2
1877,1963,2
1879,242,2
1884,1828,2
1902,439,1
1906,1214,2
1915,1327,1
1928,2144,3
1944,2056,1
1949,1038,3
1952,1382,2
