id_produit,date,prix
1,2020-2-16,94
1,2021-6-15,97
1,2021-6-24,101
2,2020-4-17,196
2,2020-12-1,181
2,2021-5-14,192
3,2020-8-18,114
3,2020-4-28,118
4,2021-8-2,101
4,2020-8-1,109
4,2021-4-18,100
5,2020-10-24,58
5,2021-7-3,51
5,2020-7-14,47
5,2020-7-16,61
6,2021-6-22,47
6,2021-7-4,53
6,2021-2-21,41
6,2021-1-26,48
7,2021-10-20,165
7,2020-1-1,158
8,2020-2-26,81
8,2020-12-13,97
8,2020-1-7,98
9,2021-9-10,257
9,2021-6-9,267
9,2021-5-15,255
9,2020-2-7,264
10,2021-1-11,88
10,2021-1-16,80
10,2020-8-27,86
10,2021-5-4,96
11,2020-7-4,69
11,2021-5-13,74
11,2020-4-15,72
12,2021-12-9,189
12,2020-4-5,175
12,2021-6-19,181
12,2020-1-12,174
13,2020-3-28,256
13,2021-8-28,257
13,2020-12-22,256
14,2021-6-11,61
14,2021-6-15,61
14,2021-3-16,55
14,2020-5-28,59
15,2021-12-21,169
15,2020-11-3,176
15,2020-3-24,174
15,2020-7-19,168
16,2020-4-5,25
16,2020-5-23,25
16,2020-8-22,25
16,2020-8-19,25
17,2020-12-10,232
17,2021-2-22,217
17,2021-11-1,223
18,2020-7-3,239
18,2020-8-28,227
18,2020-8-22,225
18,2020-4-3,225
19,2021-3-5,46
19,2021-8-20,56
19,2020-4-6,45
19,2020-3-12,53
20,2020-8-26,148
20,2020-12-17,151
20,2020-5-24,142
21,2021-5-12,235
21,2020-3-24,229
21,2020-9-10,242
21,2020-9-20,246
22,2021-2-17,111
22,2021-2-14,99
22,2021-3-22,109
22,2021-10-18,107
23,2021-12-12,48
23,2020-3-22,60
23,2020-6-27,60
24,2021-6-12,10
24,2021-2-10,19
25,2021-9-13,240
25,2021-2-16,243
25,2020-3-17,256
25,2021-4-2,241
26,2020-1-3,233
26,2021-12-17,246
26,2021-8-15,237
27,2021-10-22,42
27,2020-5-11,33
27,2020-6-17,28
28,2021-8-1,7
28,2020-4-22,22
29,2020-10-1,191
29,2020-11-20,206
29,2020-4-8,195
30,2020-4-26,201
30,2020-1-1,204
30,2020-2-22,208
30,2021-8-20,203
31,2020-6-27,129
31,2020-4-26,115
32,2021-5-3,244
32,2020-9-16,245
32,2021-11-13,230
32,2021-7-19,232
33,2021-12-11,189
33,2021-4-22,189
33,2021-4-11,194
33,2020-1-23,189
34,2021-10-18,132
34,2021-6-21,139
34,2021-5-26,129
34,2020-9-9,136
35,2021-2-27,156
35,2020-8-22,148
35,2020-6-23,146
36,2021-7-20,69
36,2020-2-13,73
37,2021-11-13,197
37,2020-12-13,182
38,2020-9-14,252
38,2020-8-19,245
39,2020-9-22,129
39,2020-10-4,136
40,2021-5-4,28
40,2021-5-25,19
41,2020-8-23,48
41,2020-8-8,54
42,2021-8-3,227
42,2020-4-5,229
42,2021-12-19,229
42,2021-12-23,223
43,2021-7-26,222
43,2021-3-11,235
43,2021-12-26,222
43,2020-1-3,229
44,2021-7-5,91
44,2020-7-13,109
45,2021-8-16,86
45,2020-1-25,86
45,2020-12-3,84
46,2020-7-8,258
46,2021-7-22,260
46,2021-9-21,256
47,2021-4-27,114
47,2020-11-24,103
47,2020-7-11,119
48,2021-11-26,248
48,2021-4-4,247
48,2021-8-25,240
48,2021-2-13,241
49,2020-6-5,149
49,2021-6-25,149
49,2020-1-18,144
49,2021-7-18,153
50,2021-11-23,99
50,2020-2-6,89
50,2021-9-26,86
51,2020-10-15,30
51,2020-12-12,38
51,2020-11-22,43
52,2020-2-25,210
52,2021-5-13,214
52,2020-4-10,205
52,2021-8-13,216
53,2020-12-10,79
53,2020-12-23,84
53,2020-12-12,79
53,2021-10-22,74
54,2021-7-8,100
54,2021-8-9,119
54,2020-6-16,100
55,2020-8-9,223
55,2021-8-22,226
55,2021-7-23,225
56,2021-7-14,71
56,2020-5-12,75
56,2020-5-4,82
56,2020-5-5,77
57,2020-5-18,144
57,2020-2-28,158
57,2021-9-13,156
58,2021-11-16,26
58,2021-10-1,37
58,2020-2-1,22
59,2021-6-8,108
59,2020-6-19,113
60,2020-8-26,194
60,2021-7-24,197
60,2020-10-27,205
61,2021-5-11,171
61,2021-11-4,160
61,2020-2-7,162
61,2021-9-17,174
62,2021-5-2,32
62,2021-8-2,27
63,2020-4-20,251
63,2021-6-24,235
64,2020-4-21,203
64,2020-11-17,207
65,2020-1-10,106
65,2021-10-9,112
65,2021-5-5,102
65,2021-5-3,105
66,2021-1-9,139
66,2021-6-19,151
66,2021-11-26,155
66,2021-11-25,145
67,2021-10-2,49
67,2021-2-28,45
67,2020-5-10,59
67,2020-3-27,63
68,2020-1-12,157
68,2021-7-24,163
69,2021-11-18,233
69,2020-8-4,235
70,2020-2-4,127
70,2021-3-7,126
70,2021-6-7,138
71,2020-11-27,230
71,2021-12-25,242
71,2020-10-6,244
71,2020-4-1,241
72,2021-8-17,146
72,2020-5-2,152
72,2020-9-3,146
72,2020-3-22,149
73,2021-3-6,147
73,2021-2-22,145
73,2020-7-20,142
74,2020-6-8,60
74,2020-9-13,77
75,2020-6-21,121
75,2020-4-2,117
75,2021-6-21,122
75,2020-9-3,121
76,2021-7-27,57
